@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
99,633,1,3445,98,0.97234,0.998423,0.155223,0.998423,0.844777,0.268676,0.976299,1.022661,0
100,633,1,3444,99,0.972058,0.998423,0.155261,0.998423,0.844739,0.268733,0.976059,1.022912,0
101,633,1,3443,100,0.971775,0.998423,0.155299,0.998423,0.844701,0.26879,0.97582,1.023163,0
102,633,1,3442,101,0.971493,0.998423,0.155337,0.998423,0.844663,0.268847,0.975581,1.023414,0
103,633,1,3441,102,0.971211,0.998423,0.155376,0.998423,0.844624,0.268904,0.975341,1.023665,0
104,633,1,3440,103,0.970929,0.998423,0.155414,0.998423,0.844586,0.268961,0.975102,1.023916,0
105,633,1,3439,104,0.970646,0.998423,0.155452,0.998423,0.844548,0.269018,0.974862,1.024168,0
106,633,1,3438,105,0.970364,0.998423,0.15549,0.998423,0.84451,0.269075,0.974623,1.024419,0
107,633,1,3437,106,0.970082,0.998423,0.155528,0.998423,0.844472,0.269133,0.974384,1.024671,0
108,633,1,3436,107,0.9698,0.998423,0.155566,0.998423,0.844434,0.26919,0.974144,1.024923,0
109,633,1,3435,108,0.969517,0.998423,0.155605,0.998423,0.844395,0.269247,0.973905,1.025175,0
110,633,1,3434,109,0.969235,0.998423,0.155643,0.998423,0.844357,0.269304,0.973665,1.025427,0
111,633,1,3433,110,0.968953,0.998423,0.155681,0.998423,0.844319,0.269362,0.973426,1.025679,0
112,633,1,3432,111,0.968671,0.998423,0.15572,0.998423,0.84428,0.269419,0.973186,1.025932,0
113,633,1,3431,112,0.968388,0.998423,0.155758,0.998423,0.844242,0.269476,0.972947,1.026184,0
114,633,1,3430,113,0.968106,0.998423,0.155796,0.998423,0.844204,0.269534,0.972708,1.026437,0
115,633,1,3429,114,0.967824,0.998423,0.155835,0.998423,0.844165,0.269591,0.972468,1.026689,0
116,633,1,3428,115,0.967542,0.998423,0.155873,0.998423,0.844127,0.269649,0.972229,1.026942,0
117,633,1,3427,116,0.967259,0.998423,0.155911,0.998423,0.844089,0.269706,0.971989,1.027195,0
118,633,1,3426,117,0.966977,0.998423,0.15595,0.998423,0.84405,0.269763,0.97175,1.027448,0
119,633,1,3425,118,0.966695,0.998423,0.155988,0.998423,0.844012,0.269821,0.971511,1.027701,0
120,633,1,3424,119,0.966413,0.998423,0.156027,0.998423,0.843973,0.269878,0.971271,1.027955,0
121,633,1,3423,120,0.96613,0.998423,0.156065,0.998423,0.843935,0.269936,0.971032,1.028208,0
122,633,1,3422,121,0.965848,0.998423,0.156104,0.998423,0.843896,0.269994,0.970792,1.028462,0
123,633,1,3421,122,0.965566,0.998423,0.156142,0.998423,0.843858,0.270051,0.970553,1.028715,0
124,633,1,3420,123,0.965284,0.998423,0.156181,0.998423,0.843819,0.270109,0.970314,1.028969,0
125,633,1,3419,124,0.965001,0.998423,0.156219,0.998423,0.843781,0.270166,0.970074,1.029223,0
126,633,1,3418,125,0.964719,0.998423,0.156258,0.998423,0.843742,0.270224,0.969835,1.029477,0
127,633,1,3417,126,0.964437,0.998423,0.156296,0.998423,0.843704,0.270282,0.969595,1.029731,0
128,633,1,3416,127,0.964155,0.998423,0.156335,0.998423,0.843665,0.27034,0.969356,1.029986,0
129,633,1,3415,128,0.963872,0.998423,0.156374,0.998423,0.843626,0.270397,0.969117,1.03024,0
130,633,1,3414,129,0.96359,0.998423,0.156412,0.998423,0.843588,0.270455,0.968877,1.030495,0
131,633,1,3413,130,0.963308,0.998423,0.156451,0.998423,0.843549,0.270513,0.968638,1.030749,0
132,633,1,3412,131,0.963026,0.998423,0.156489,0.998423,0.843511,0.270571,0.968398,1.031004,0
133,633,1,3411,132,0.962743,0.998423,0.156528,0.998423,0.843472,0.270628,0.968159,1.031259,0
134,633,1,3410,133,0.962461,0.998423,0.156567,0.998423,0.843433,0.270686,0.96792,1.031514,0
135,633,1,3409,134,0.962179,0.998423,0.156606,0.998423,0.843394,0.270744,0.96768,1.031769,0
136,633,1,3408,135,0.961897,0.998423,0.156644,0.998423,0.843356,0.270802,0.967441,1.032025,0
137,633,1,3407,136,0.961614,0.998423,0.156683,0.998423,0.843317,0.27086,0.967201,1.03228,0
138,633,1,3406,137,0.961332,0.998423,0.156722,0.998423,0.843278,0.270918,0.966962,1.032536,0
139,633,1,3405,138,0.96105,0.998423,0.156761,0.998423,0.843239,0.270976,0.966723,1.032791,0
140,633,1,3404,139,0.960768,0.998423,0.1568,0.998423,0.8432,0.271034,0.966483,1.033047,0
141,633,1,3403,140,0.960485,0.998423,0.156838,0.998423,0.843162,0.271092,0.966244,1.033303,0
142,633,1,3402,141,0.960203,0.998423,0.156877,0.998423,0.843123,0.27115,0.966004,1.033559,0
143,633,1,3401,142,0.959921,0.998423,0.156916,0.998423,0.843084,0.271208,0.965765,1.033815,0
144,633,1,3400,143,0.959639,0.998423,0.156955,0.998423,0.843045,0.271266,0.965525,1.034072,0
145,633,1,3399,144,0.959356,0.998423,0.156994,0.998423,0.843006,0.271324,0.965286,1.034328,0
146,633,1,3398,145,0.959074,0.998423,0.157033,0.998423,0.842967,0.271383,0.965047,1.034585,0
147,633,1,3397,146,0.958792,0.998423,0.157072,0.998423,0.842928,0.271441,0.964807,1.034842,0
148,633,1,3396,147,0.95851,0.998423,0.157111,0.998423,0.842889,0.271499,0.964568,1.035098,0
149,633,1,3395,148,0.958227,0.998423,0.15715,0.998423,0.84285,0.271557,0.964328,1.035355,0
150,633,1,3394,149,0.957945,0.998423,0.157189,0.998423,0.842811,0.271616,0.964089,1.035613,0
151,633,1,3393,150,0.957663,0.998423,0.157228,0.998423,0.842772,0.271674,0.96385,1.03587,0
